ID;Tube_vide;Tube_masse_fraiche;Tube_masse_seche
1;Date 24.02.2022  Heure 14:30:51;Date 25.02.2022  Heure 15:18:09;Date 02.03.2022  Heure 13:00:06
1;N         :    +   1.3032 g;N         :    +   1.3970 g;N         :    +   1.3114 g
2;Date 24.02.2022  Heure 14:31:01;Date 25.02.2022  Heure 15:18:40;Date 02.03.2022  Heure 13:00:18
2;N         :    +   1.3125 g;N         :    +   1.4522 g;N         :    +   1.3232 g
3;Date 24.02.2022  Heure 14:31:16;Date 25.02.2022  Heure 15:19:12;Date 02.03.2022  Heure 13:00:34
3;N         :    +   1.3066 g;N         :    +   1.4432 g;N         :    +   1.3185 g
4;Date 24.02.2022  Heure 14:31:26;Date 25.02.2022  Heure 15:19:23;Date 02.03.2022  Heure 13:00:45
4;N         :    +   1.2990 g;N         :    +   1.3686 g;N         :    +   1.3055 g
5;Date 24.02.2022  Heure 14:31:39;Date 25.02.2022  Heure 15:19:30;Date 02.03.2022  Heure 13:00:54
5;N         :    +   1.3084 g;N         :    +   1.4810 g;N         :    +   1.3228 g
6;Date 24.02.2022  Heure 14:31:51;Date 25.02.2022  Heure 15:19:41;Date 02.03.2022  Heure 13:01:06
6;N         :    +   1.3112 g;N         :    +   1.4277 g;N         :    +   1.3209 g
7;Date 24.02.2022  Heure 14:32:02;Date 25.02.2022  Heure 15:19:48;Date 02.03.2022  Heure 13:01:18
7;N         :    +   1.3078 g;N         :    +   1.4047 g;N         :    +   1.3162 g
8;Date 24.02.2022  Heure 14:32:13;Date 25.02.2022  Heure 15:19:59;Date 02.03.2022  Heure 13:01:26
8;N         :    +   1.3009 g;N         :    +   1.4192 g;N         :    +   1.3111 g
9;Date 24.02.2022  Heure 14:32:24;Date 25.02.2022  Heure 15:20:07;Date 02.03.2022  Heure 13:01:38
9;N         :    +   1.3039 g;N         :    +   1.4283 g;N         :    +   1.3150 g
10;Date 24.02.2022  Heure 14:32:38;Date 25.02.2022  Heure 15:20:17;Date 02.03.2022  Heure 13:01:49
10;N         :    +   1.3049 g;N         :    +   1.4758 g;N         :    +   1.3186 g
11;Date 24.02.2022  Heure 14:32:50;Date 25.02.2022  Heure 15:20:27;Date 02.03.2022  Heure 13:02:02
11;N         :    +   1.3106 g;N         :    +   1.4857 g;N         :    +   1.3247 g
12;Date 24.02.2022  Heure 14:33:04;NA;NA
12;N         :    +   1.3060 g;NA;NA
13;Date 24.02.2022  Heure 14:33:14;Date 25.02.2022  Heure 15:20:41;Date 02.03.2022  Heure 13:02:27
13;N         :    +   1.3008 g;N         :    +   1.4237 g;N         :    +   1.3117 g
14;Date 24.02.2022  Heure 14:33:26;Date 25.02.2022  Heure 15:20:51;Date 02.03.2022  Heure 13:02:39
14;N         :    +   1.3010 g;N         :    +   1.4370 g;N         :    +   1.3121 g
15;Date 24.02.2022  Heure 14:33:38;Date 25.02.2022  Heure 15:21:00;Date 02.03.2022  Heure 13:02:53
15;N         :    +   1.3020 g;N         :    +   1.4049 g;N         :    +   1.3099 g
16;Date 24.02.2022  Heure 14:33:46;Date 25.02.2022  Heure 15:21:12;Date 02.03.2022  Heure 13:03:06
16;N         :    +   1.3030 g;N         :    +   1.4268 g;N         :    +   1.3135 g
17;Date 24.02.2022  Heure 14:33:58;Date 25.02.2022  Heure 15:21:21;Date 02.03.2022  Heure 13:03:20
17;N         :    +   1.3062 g;N         :    +   1.3929 g;N         :    +   1.3134 g
18;Date 24.02.2022  Heure 14:34:12;Date 25.02.2022  Heure 15:21:29;Date 02.03.2022  Heure 13:03:30
18;N         :    +   1.2995 g;N         :    +   1.4322 g;N         :    +   1.3109 g
19;Date 24.02.2022  Heure 14:34:22;Date 25.02.2022  Heure 15:21:38;Date 02.03.2022  Heure 13:03:44
19;N         :    +   1.3080 g;N         :    +   1.4370 g;N         :    +   1.3184 g
20;Date 24.02.2022  Heure 14:34:33;Date 25.02.2022  Heure 15:21:47;Date 02.03.2022  Heure 13:03:55
20;N         :    +   1.3134 g;N         :    +   1.4426 g;N         :    +   1.3242 g
21;Date 24.02.2022  Heure 14:34:43;Date 25.02.2022  Heure 15:21:58;Date 02.03.2022  Heure 13:04:09
21;N         :    +   1.3041 g;N         :    +   1.3955 g;N         :    +   1.3120 g
22;Date 24.02.2022  Heure 14:34:52;Date 25.02.2022  Heure 15:22:07;Date 02.03.2022  Heure 13:04:20
22;N         :    +   1.3086 g;N         :    +   1.4466 g;N         :    +   1.3198 g
23;Date 24.02.2022  Heure 14:35:01;Date 25.02.2022  Heure 15:22:17;Date 02.03.2022  Heure 13:04:31
23;N         :    +   1.3014 g;N         :    +   1.4160 g;N         :    +   1.3116 g
24;Date 24.02.2022  Heure 14:35:11;Date 25.02.2022  Heure 15:22:26;Date 02.03.2022  Heure 13:04:47
24;N         :    +   1.2998 g;N         :    +   1.4196 g;N         :    +   1.3101 g
25;Date 24.02.2022  Heure 14:35:22;Date 25.02.2022  Heure 15:22:47;Date 02.03.2022  Heure 13:04:59
25;N         :    +   1.3009 g;N         :    +   1.4773 g;N         :    +   1.3161 g
26;Date 24.02.2022  Heure 14:35:32;Date 25.02.2022  Heure 15:22:59;Date 02.03.2022  Heure 13:05:11
26;N         :    +   1.3008 g;N         :    +   1.4192 g;N         :    +   1.3111 g
27;Date 24.02.2022  Heure 14:35:55;Date 25.02.2022  Heure 15:23:12;Date 02.03.2022  Heure 13:05:22
27;N         :    +   1.2993 g;N         :    +   1.4717 g;N         :    +   1.3138 g
28;Date 24.02.2022  Heure 14:36:04;Date 25.02.2022  Heure 15:23:23;Date 02.03.2022  Heure 13:05:33
28;N         :    +   1.3071 g;N         :    +   1.4457 g;N         :    +   1.3190 g
29;Date 24.02.2022  Heure 14:36:13;Date 25.02.2022  Heure 15:23:34;Date 02.03.2022  Heure 13:05:46
29;N         :    +   1.3065 g;N         :    +   1.3932 g;N         :    +   1.3145 g
30;Date 24.02.2022  Heure 14:36:20;Date 25.02.2022  Heure 15:23:52;Date 02.03.2022  Heure 13:06:02
30;N         :    +   1.3041 g;N         :    +   1.4046 g;N         :    +   1.3129 g
31;Date 24.02.2022  Heure 14:36:28;Date 25.02.2022  Heure 15:24:04;Date 02.03.2022  Heure 13:06:12
31;N         :    +   1.2995 g;N         :    +   1.4225 g;N         :    +   1.3097 g
32;Date 24.02.2022  Heure 14:36:36;Date 25.02.2022  Heure 15:24:15;Date 02.03.2022  Heure 13:06:24
32;N         :    +   1.3086 g;N         :    +   1.4688 g;N         :    +   1.3223 g
33;Date 24.02.2022  Heure 14:36:44;Date 25.02.2022  Heure 15:24:28;Date 02.03.2022  Heure 13:06:35
33;N         :    +   1.3067 g;N         :    +   1.3950 g;N         :    +   1.3143 g
34;Date 24.02.2022  Heure 14:36:51;Date 25.02.2022  Heure 15:24:39;Date 02.03.2022  Heure 13:06:47
34;N         :    +   1.2952 g;N         :    +   1.3987 g;N         :    +   1.3044 g
35;Date 24.02.2022  Heure 14:36:59;Date 25.02.2022  Heure 15:24:49;Date 02.03.2022  Heure 13:06:58
35;N         :    +   1.3032 g;N         :    +   1.4893 g;N         :    +   1.3189 g
36;Date 24.02.2022  Heure 14:37:07;Date 25.02.2022  Heure 15:24:59;Date 02.03.2022  Heure 13:07:08
36;N         :    +   1.3030 g;N         :    +   1.4136 g;N         :    +   1.3126 g
37;Date 24.02.2022  Heure 14:37:17;Date 25.02.2022  Heure 15:25:09;Date 02.03.2022  Heure 13:07:18
37;N         :    +   1.3082 g;N         :    +   1.4645 g;N         :    +   1.3213 g
38;Date 24.02.2022  Heure 14:37:24;Date 25.02.2022  Heure 15:25:17;Date 02.03.2022  Heure 13:07:30
38;N         :    +   1.3008 g;N         :    +   1.4896 g;N         :    +   1.3167 g
39;Date 24.02.2022  Heure 14:37:33;Date 25.02.2022  Heure 15:25:27;Date 02.03.2022  Heure 13:07:46
39;N         :    +   1.3085 g;N         :    +   1.4157 g;N         :    +   1.3179 g
40;Date 24.02.2022  Heure 14:37:43;Date 25.02.2022  Heure 15:25:36;Date 02.03.2022  Heure 13:08:00
40;N         :    +   1.3067 g;N         :    +   1.3815 g;N         :    +   1.3130 g
41;Date 24.02.2022  Heure 14:37:50;Date 25.02.2022  Heure 15:25:47;Date 02.03.2022  Heure 13:08:14
41;N         :    +   1.3092 g;N         :    +   1.5087 g;N         :    +   1.3264 g
42;Date 24.02.2022  Heure 14:37:58;Date 25.02.2022  Heure 15:25:55;Date 02.03.2022  Heure 13:08:26
42;N         :    +   1.3058 g;N         :    +   1.4428 g;N         :    +   1.3177 g
43;Date 24.02.2022  Heure 14:38:06;Date 25.02.2022  Heure 15:26:06;Date 02.03.2022  Heure 13:08:37
43;N         :    +   1.3066 g;N         :    +   1.3976 g;N         :    +   1.3149 g
44;Date 24.02.2022  Heure 14:38:14;Date 25.02.2022  Heure 15:26:21;Date 02.03.2022  Heure 13:08:46
44;N         :    +   1.3081 g;N         :    +   1.4433 g;N         :    +   1.3197 g
45;Date 24.02.2022  Heure 14:38:22;NA;NA
45;N         :    +   1.3138 g;NA;NA
46;Date 24.02.2022  Heure 14:38:30;Date 25.02.2022  Heure 15:26:43;Date 02.03.2022  Heure 13:09:06
46;N         :    +   1.3047 g;N         :    +   1.4099 g;N         :    +   1.3142 g
47;Date 24.02.2022  Heure 14:38:37;Date 25.02.2022  Heure 15:26:56;Date 02.03.2022  Heure 13:09:18
47;N         :    +   1.3058 g;N         :    +   1.4527 g;N         :    +   1.3182 g
48;Date 24.02.2022  Heure 14:38:45;Date 25.02.2022  Heure 15:27:08;Date 02.03.2022  Heure 13:09:29
48;N         :    +   1.3069 g;N         :    +   1.4861 g;N         :    +   1.3214 g
49;Date 24.02.2022  Heure 14:39:27;Date 25.02.2022  Heure 15:27:45;Date 02.03.2022  Heure 13:09:55
49;N         :    +   1.3027 g;N         :    +   1.4305 g;N         :    +   1.3139 g
50;Date 24.02.2022  Heure 14:39:37;Date 25.02.2022  Heure 15:27:56;Date 02.03.2022  Heure 13:10:06
50;N         :    +   1.3096 g;N         :    +   1.4463 g;N         :    +   1.3209 g
51;Date 24.02.2022  Heure 14:39:47;Date 25.02.2022  Heure 15:28:07;Date 02.03.2022  Heure 13:10:17
51;N         :    +   1.2988 g;N         :    +   1.4236 g;N         :    +   1.3093 g
52;Date 24.02.2022  Heure 14:39:55;Date 25.02.2022  Heure 15:28:19;Date 02.03.2022  Heure 13:10:30
52;N         :    +   1.3046 g;N         :    +   1.4313 g;N         :    +   1.3139 g
53;Date 24.02.2022  Heure 14:40:02;Date 25.02.2022  Heure 15:28:28;Date 02.03.2022  Heure 13:10:40
53;N         :    +   1.3037 g;N         :    +   1.4435 g;N         :    +   1.3153 g
54;Date 24.02.2022  Heure 14:40:28;Date 25.02.2022  Heure 15:28:38;Date 02.03.2022  Heure 13:10:54
54;N         :    +   1.3079 g;N         :    +   1.4153 g;N         :    +   1.3170 g
55;Date 24.02.2022  Heure 14:40:36;Date 25.02.2022  Heure 15:28:52;Date 02.03.2022  Heure 13:11:05
55;N         :    +   1.3056 g;N         :    +   1.4422 g;N         :    +   1.3168 g
56;Date 24.02.2022  Heure 14:40:46;Date 25.02.2022  Heure 15:29:03;Date 02.03.2022  Heure 13:11:14
56;N         :    +   1.3083 g;N         :    +   1.4561 g;N         :    +   1.3208 g
57;Date 24.02.2022  Heure 14:40:57;Date 25.02.2022  Heure 15:29:12;Date 02.03.2022  Heure 13:11:24
57;N         :    +   1.3119 g;N         :    +   1.3963 g;N         :    +   1.3187 g
58;Date 24.02.2022  Heure 14:41:05;Date 25.02.2022  Heure 15:29:23;Date 02.03.2022  Heure 13:11:35
58;N         :    +   1.3064 g;N         :    +   1.4565 g;N         :    +   1.3189 g
59;Date 24.02.2022  Heure 14:41:15;Date 25.02.2022  Heure 15:29:34;Date 02.03.2022  Heure 13:11:46
59;N         :    +   1.3079 g;N         :    +   1.4304 g;N         :    +   1.3181 g
60;Date 24.02.2022  Heure 14:41:23;Date 25.02.2022  Heure 15:29:43;Date 02.03.2022  Heure 13:11:58
60;N         :    +   1.3078 g;N         :    +   1.3883 g;N         :    +   1.3145 g
61;Date 24.02.2022  Heure 14:41:34;Date 25.02.2022  Heure 15:29:53;Date 02.03.2022  Heure 13:12:09
61;N         :    +   1.3086 g;N         :    +   1.4305 g;N         :    +   1.3200 g
62;Date 24.02.2022  Heure 14:41:44;NA;NA
62;N         :    +   1.3069 g;NA;NA
63;Date 24.02.2022  Heure 14:41:52;NA;NA
63;N         :    +   1.3053 g;NA;NA
64;Date 24.02.2022  Heure 14:42:00;Date 25.02.2022  Heure 15:30:18;Date 02.03.2022  Heure 13:12:26
64;N         :    +   1.3074 g;N         :    +   1.4183 g;N         :    +   1.3181 g
65;Date 24.02.2022  Heure 14:42:15;Date 25.02.2022  Heure 15:30:26;Date 02.03.2022  Heure 13:12:38
65;N         :    +   1.3085 g;N         :    +   1.3835 g;N         :    +   1.3153 g
66;Date 24.02.2022  Heure 14:42:24;Date 25.02.2022  Heure 15:30:35;Date 02.03.2022  Heure 13:13:19
66;N         :    +   1.2997 g;N         :    +   1.4077 g;N         :    +   1.3094 g
67;Date 24.02.2022  Heure 14:42:34;NA;NA
67;N         :    +   1.3134 g;NA;NA
68;Date 24.02.2022  Heure 14:42:46;Date 25.02.2022  Heure 15:30:46;Date 02.03.2022  Heure 13:13:47
68;N         :    +   1.3092 g;N         :    +   1.4129 g;N         :    +   1.3183 g
69;Date 24.02.2022  Heure 14:43:00;Date 25.02.2022  Heure 15:31:12;Date 02.03.2022  Heure 13:13:58
69;N         :    +   1.3040 g;N         :    +   1.4242 g;N         :    +   1.3149 g
70;Date 24.02.2022  Heure 14:43:10;Date 25.02.2022  Heure 15:31:21;Date 02.03.2022  Heure 13:14:08
70;N         :    +   1.3110 g;N         :    +   1.4427 g;N         :    +   1.3225 g
71;Date 24.02.2022  Heure 14:43:19;Date 25.02.2022  Heure 15:31:29;Date 02.03.2022  Heure 13:14:20
71;N         :    +   1.3067 g;N         :    +   1.4770 g;N         :    +   1.3212 g
72;Date 24.02.2022  Heure 14:43:28;Date 25.02.2022  Heure 15:31:38;Date 02.03.2022  Heure 13:14:37
72;N         :    +   1.3053 g;N         :    +   1.4620 g;N         :    +   1.3191 g
73;Date 24.02.2022  Heure 14:43:36;Date 25.02.2022  Heure 15:31:47;Date 02.03.2022  Heure 13:14:46
73;N         :    +   1.3124 g;N         :    +   1.4220 g;N         :    +   1.3224 g
74;Date 24.02.2022  Heure 14:43:44;Date 25.02.2022  Heure 15:31:58;Date 02.03.2022  Heure 13:14:57
74;N         :    +   1.3085 g;N         :    +   1.3932 g;N         :    +   1.3164 g
75;Date 24.02.2022  Heure 14:43:54;Date 25.02.2022  Heure 15:32:08;Date 02.03.2022  Heure 13:15:10
75;N         :    +   1.3032 g;N         :    +   1.3750 g;N         :    +   1.3093 g
76;Date 24.02.2022  Heure 14:44:03;Date 25.02.2022  Heure 15:32:20;Date 02.03.2022  Heure 13:15:22
76;N         :    +   1.3082 g;N         :    +   1.4180 g;N         :    +   1.3182 g
77;Date 24.02.2022  Heure 14:44:10;Date 25.02.2022  Heure 15:32:38;Date 02.03.2022  Heure 13:15:34
77;N         :    +   1.3017 g;N         :    +   1.3957 g;N         :    +   1.3111 g
78;Date 24.02.2022  Heure 14:44:32;Date 25.02.2022  Heure 15:33:23;Date 02.03.2022  Heure 13:15:47
78;N         :    +   1.3126 g;N         :    +   1.4510 g;N         :    +   1.3242 g
79;Date 24.02.2022  Heure 14:44:40;NA;NA
79;N         :    +   1.3005 g;NA;NA
80;Date 24.02.2022  Heure 14:44:57;Date 25.02.2022  Heure 15:33:35;Date 02.03.2022  Heure 13:16:05
80;N         :    +   1.3134 g;N         :    +   1.3781 g;N         :    +   1.3192 g
81;Date 24.02.2022  Heure 14:45:05;Date 25.02.2022  Heure 15:33:58;Date 02.03.2022  Heure 13:16:16
81;N         :    +   1.3082 g;N         :    +   1.4179 g;N         :    +   1.3181 g
82;Date 24.02.2022  Heure 14:45:14;Date 25.02.2022  Heure 15:34:08;Date 02.03.2022  Heure 13:16:26
82;N         :    +   1.3043 g;N         :    +   1.4317 g;N         :    +   1.3159 g
83;Date 24.02.2022  Heure 14:45:25;Date 25.02.2022  Heure 15:34:20;Date 02.03.2022  Heure 13:17:15
83;N         :    +   1.3123 g;N         :    +   1.4588 g;N         :    +   1.3252 g
84;Date 24.02.2022  Heure 14:45:35;Date 25.02.2022  Heure 15:34:31;Date 02.03.2022  Heure 13:17:29
84;N         :    +   1.3041 g;N         :    +   1.4383 g;N         :    +   1.3153 g
85;Date 24.02.2022  Heure 14:45:44;Date 25.02.2022  Heure 15:34:42;Date 02.03.2022  Heure 13:17:41
85;N         :    +   1.2989 g;N         :    +   1.3688 g;N         :    +   1.3044 g
86;Date 24.02.2022  Heure 14:45:53;Date 25.02.2022  Heure 15:34:53;Date 02.03.2022  Heure 13:17:53
86;N         :    +   1.3050 g;N         :    +   1.3910 g;N         :    +   1.3124 g
87;Date 24.02.2022  Heure 14:46:01;NA;NA
87;N         :    +   1.3135 g;NA;NA
88;Date 24.02.2022  Heure 14:46:10;Date 25.02.2022  Heure 15:35:10;Date 02.03.2022  Heure 13:18:09
88;N         :    +   1.3066 g;N         :    +   1.4170 g;N         :    +   1.3158 g
89;Date 24.02.2022  Heure 14:46:18;Date 25.02.2022  Heure 15:35:21;Date 02.03.2022  Heure 13:18:21
89;N         :    +   1.3021 g;N         :    +   1.4091 g;N         :    +   1.3109 g
90;Date 24.02.2022  Heure 14:46:27;Date 25.02.2022  Heure 15:35:34;Date 02.03.2022  Heure 13:18:37
90;N         :    +   1.3040 g;N         :    +   1.4357 g;N         :    +   1.3150 g
91;Date 24.02.2022  Heure 14:46:35;Date 25.02.2022  Heure 15:36:01;Date 02.03.2022  Heure 13:18:49
91;N         :    +   1.3074 g;N         :    +   1.4159 g;N         :    +   1.3165 g
92;Date 24.02.2022  Heure 14:46:43;Date 25.02.2022  Heure 15:36:15;Date 02.03.2022  Heure 13:19:03
92;N         :    +   1.3136 g;N         :    +   1.4116 g;N         :    +   1.3217 g
93;Date 24.02.2022  Heure 14:46:52;Date 25.02.2022  Heure 15:36:24;Date 02.03.2022  Heure 13:19:15
93;N         :    +   1.2952 g;N         :    +   1.4026 g;N         :    +   1.3043 g
94;Date 24.02.2022  Heure 14:47:00;Date 25.02.2022  Heure 15:36:36;Date 02.03.2022  Heure 13:19:26
94;N         :    +   1.3090 g;N         :    +   1.4442 g;N         :    +   1.3202 g
95;Date 24.02.2022  Heure 14:47:09;Date 25.02.2022  Heure 15:36:46;Date 02.03.2022  Heure 13:19:36
95;N         :    +   1.3093 g;N         :    +   1.4232 g;N         :    +   1.3190 g
96;Date 24.02.2022  Heure 14:47:18;Date 25.02.2022  Heure 15:36:58;Date 02.03.2022  Heure 13:19:48
96;N         :    +   1.3084 g;N         :    +   1.4548 g;N         :    +   1.3207 g
97;Date 24.02.2022  Heure 14:47:46;Date 25.02.2022  Heure 15:37:24;Date 02.03.2022  Heure 13:20:17
97;N         :    +   1.3039 g;N         :    +   1.3845 g;N         :    +   1.3110 g
98;Date 24.02.2022  Heure 14:47:55;Date 25.02.2022  Heure 15:37:35;Date 02.03.2022  Heure 13:20:28
98;N         :    +   1.3088 g;N         :    +   1.4628 g;N         :    +   1.3217 g
99;Date 24.02.2022  Heure 14:48:03;Date 25.02.2022  Heure 15:37:49;Date 02.03.2022  Heure 13:20:38
99;N         :    +   1.3075 g;N         :    +   1.4561 g;N         :    +   1.3191 g
100;Date 24.02.2022  Heure 14:48:11;Date 25.02.2022  Heure 15:38:03;Date 02.03.2022  Heure 13:20:51
100;N         :    +   1.2991 g;N         :    +   1.3911 g;N         :    +   1.3065 g
101;Date 24.02.2022  Heure 14:48:21;Date 25.02.2022  Heure 15:38:14;Date 02.03.2022  Heure 13:21:02
101;N         :    +   1.3081 g;N         :    +   1.3909 g;N         :    +   1.3152 g
102;Date 24.02.2022  Heure 14:48:30;Date 25.02.2022  Heure 15:38:25;Date 02.03.2022  Heure 13:21:15
102;N         :    +   1.3072 g;N         :    +   1.3849 g;N         :    +   1.3135 g
103;Date 24.02.2022  Heure 14:48:38;Date 25.02.2022  Heure 15:38:39;Date 02.03.2022  Heure 13:21:25
103;N         :    +   1.3038 g;N         :    +   1.4662 g;N         :    +   1.3169 g
104;Date 24.02.2022  Heure 14:48:46;Date 25.02.2022  Heure 15:38:49;Date 02.03.2022  Heure 13:21:37
104;N         :    +   1.3007 g;N         :    +   1.4412 g;N         :    +   1.3121 g
105;Date 24.02.2022  Heure 14:48:53;Date 25.02.2022  Heure 15:38:58;Date 02.03.2022  Heure 13:21:47
105;N         :    +   1.2979 g;N         :    +   1.4406 g;N         :    +   1.3096 g
106;Date 24.02.2022  Heure 14:49:04;Date 25.02.2022  Heure 15:39:07;Date 02.03.2022  Heure 13:21:57
106;N         :    +   1.2954 g;N         :    +   1.4416 g;N         :    +   1.3068 g
107;Date 24.02.2022  Heure 14:49:31;Date 25.02.2022  Heure 15:39:19;Date 02.03.2022  Heure 13:22:06
107;N         :    +   1.3070 g;N         :    +   1.4020 g;N         :    +   1.3143 g
108;Date 24.02.2022  Heure 14:49:43;Date 25.02.2022  Heure 15:39:30;Date 02.03.2022  Heure 13:22:16
108;N         :    +   1.3010 g;N         :    +   1.3932 g;N         :    +   1.3083 g
109;Date 24.02.2022  Heure 14:49:52;Date 25.02.2022  Heure 15:39:39;Date 02.03.2022  Heure 13:22:24
109;N         :    +   1.3137 g;N         :    +   1.4489 g;N         :    +   1.3249 g
110;Date 24.02.2022  Heure 14:50:07;Date 25.02.2022  Heure 15:39:47;Date 02.03.2022  Heure 13:22:35
110;N         :    +   1.2975 g;N         :    +   1.4600 g;N         :    +   1.3114 g
111;Date 24.02.2022  Heure 14:50:31;Date 25.02.2022  Heure 15:40:31;Date 02.03.2022  Heure 13:22:45
111;N         :    +   1.2979 g;N         :    +   1.3824 g;N         :    +   1.3050 g
112;Date 24.02.2022  Heure 14:50:48;Date 25.02.2022  Heure 15:40:41;Date 02.03.2022  Heure 13:22:57
112;N         :    +   1.3044 g;N         :    +   1.4251 g;N         :    +   1.3148 g
113;Date 24.02.2022  Heure 14:50:57;Date 25.02.2022  Heure 15:40:54;Date 02.03.2022  Heure 13:23:18
113;N         :    +   1.3042 g;N         :    +   1.4171 g;N         :    +   1.3138 g
114;Date 24.02.2022  Heure 14:51:05;Date 25.02.2022  Heure 15:41:03;Date 02.03.2022  Heure 13:24:34
114;N         :    +   1.3041 g;N         :    +   1.4181 g;N         :    +   1.3136 g
115;Date 24.02.2022  Heure 14:51:13;Date 25.02.2022  Heure 15:41:13;Date 02.03.2022  Heure 13:24:47
115;N         :    +   1.3032 g;N         :    +   1.4607 g;N         :    +   1.3171 g
116;Date 24.02.2022  Heure 14:51:21;Date 25.02.2022  Heure 15:41:22;Date 02.03.2022  Heure 13:24:57
116;N         :    +   1.2988 g;N         :    +   1.4452 g;N         :    +   1.3112 g
117;Date 24.02.2022  Heure 14:51:30;Date 25.02.2022  Heure 15:41:32;Date 02.03.2022  Heure 13:25:09
117;N         :    +   1.3068 g;N         :    +   1.3895 g;N         :    +   1.3141 g
118;Date 24.02.2022  Heure 14:51:46;Date 25.02.2022  Heure 15:41:40;Date 02.03.2022  Heure 13:25:19
118;N         :    +   1.2989 g;N         :    +   1.4137 g;N         :    +   1.3086 g
119;Date 24.02.2022  Heure 14:52:10;Date 25.02.2022  Heure 15:41:49;Date 02.03.2022  Heure 13:25:30
119;N         :    +   1.3087 g;N         :    +   1.4352 g;N         :    +   1.3191 g
120;Date 24.02.2022  Heure 14:52:19;Date 25.02.2022  Heure 15:41:58;Date 02.03.2022  Heure 13:25:44
120;N         :    +   1.3055 g;N         :    +   1.4631 g;N         :    +   1.3190 g
121;Date 24.02.2022  Heure 14:52:26;NA;NA
121;N         :    +   1.2996 g;NA;NA
122;Date 24.02.2022  Heure 14:52:38;Date 25.02.2022  Heure 15:42:38;Date 02.03.2022  Heure 13:26:02
122;N         :    +   1.2951 g;N         :    +   1.5424 g;N         :    +   1.3179 g
