Echantillon;Poids;% N;% C
19;0.7470;7.144;35.977
20;1.0830;7.070;35.822
21;1.1690;7.007;35.787
22;1.7520;7.078;35.880
23;0.9860;7.210;35.659
24;1.1830;7.031;35.503
25;1.4570;7.121;35.547
26;1.1560;7.207;35.437
27;1.6220;7.125;35.458
28;0.9940;7.076;35.195
29;1.6040;7.069;35.778
31;0.9390;7.053;35.661
32;1.2850;6.969;36.513
33;0.5090;7.449;35.512
34;0.8820;7.114;35.991
35;0.9560;7.120;35.606
36;1.0880;7.093;35.959
38;0.9120;7.064;36.294
39;0.7530;7.272;36.310
40;0.6950;7.335;35.929
41;0.9130;7.308;36.408
42;0.8990;7.224;36.906
43;0.5710;7.225;35.907
45;0.5970;7.427;37.208
46;1.3710;7.134;36.326
47;1.1760;7.208;36.662
48;1.5800;7.289;36.236
49;2.5500;7.058;36.753
50;0.9140;7.334;36.707
51;0.9910;7.124;36.518
52;0.9670;7.168;36.577
53;1.8870;7.071;36.452
55;0.6350;7.298;36.760
56;0.7880;7.323;37.190
57;0.6140;7.238;36.303
58;0.5510;7.192;35.758
59;0.6850;7.017;36.721
60;1.5450;6.914;37.750
61;0.6190;6.992;35.126
62;0.4920;6.893;34.535
63;1.1780;7.129;35.444
64;1.0320;6.911;35.594
65;0.5750;7.140;34.617
66;1.3950;6.748;36.564
67;1.9560;6.971;35.954
68;0.5650;7.146;34.907
70;1.4290;7.201;35.736
71;0.8800;6.847;35.723
72;0.6200;6.715;35.049
73;0.5040;6.907;32.976
74;0.8840;7.036;35.098
75;0.2850;7.099;36.105
76;0.7370;7.168;35.620
77;0.9480;7.036;35.876
78;2.1520;6.989;35.822
79;1.5630;7.034;34.834
80;1.2280;7.156;35.585
81;1.2400;6.919;36.160
82;0.8620;7.123;35.945
83;1.2250;7.048;35.719
84;0.7700;7.450;36.999
85;0.8340;7.196;35.951
86;1.8780;7.108;35.862
87;0.5430;7.082;36.578
88;0.6770;7.211;36.569
89;0.7710;7.270;35.934
90;1.3540;7.169;36.496
91;0.6210;7.233;35.265
92;1.7920;7.142;36.612
93;1.9110;6.960;36.470
94;0.9490;7.249;36.363
95;0.6510;7.148;34.978
96;0.7280;7.351;36.624
97;1.0000;7.205;36.829
98;0.9630;7.332;36.482
99;0.9790;7.002;36.517
101;1.1820;7.038;36.325
102;1.0350;6.971;36.443
103;0.4020;7.192;36.768
104;0.8640;7.080;36.453
105;0.5900;7.297;36.377
107;0.6480;7.270;37.219
108;1.8350;6.943;36.128
109;1.5000;6.140;38.647
110;0.8190;6.479;38.840
111;3.8740;6.174;38.225
112;1.2440;6.436;37.282
113;0.8970;6.230;38.384
114;4.0300;6.267;38.051
116;0.5220;6.391;39.291
117;0.8730;6.372;38.825
118;1.2890;6.083;39.597
119;1.0920;6.151;38.942
120;2.3040;6.306;37.469
121;1.5990;6.217;38.333
123;1.3930;6.004;37.215
124;2.5550;6.047;37.563
125;2.4900;6.241;37.620
126;1.7470;6.245;36.947
127;1.2440;6.174;36.587
128;1.0490;6.187;36.391
129;1.7710;6.192;36.952
130;1.1370;6.110;36.336
131;1.6560;6.075;37.681
132;1.5230;6.373;36.504
133;1.1230;6.399;36.215
134;1.3200;6.083;35.851
135;1.2860;6.131;36.022
136;1.4210;6.261;36.151
137;1.3740;6.247;36.495
138;0.9150;6.637;37.972
139;1.6190;6.209;37.164
140;0.9140;6.284;36.278
141;1.1830;6.598;36.967
142;0.9610;6.550;37.391
143;0.7340;6.361;36.113
144;0.7650;6.325;37.068
145;1.5630;6.762;36.847
146;0.5810;6.584;36.008
147;1.0030;6.535;36.079
148;1.0310;6.789;36.333
150;1.2020;6.553;36.180
151;1.6730;6.693;35.819
152;1.1460;6.730;36.584
153;1.3480;6.716;36.529
154;0.6030;6.728;36.889
156;1.2580;6.815;35.772
158;1.0580;6.773;36.709
159;0.9530;6.541;35.906
160;1.8180;6.347;35.522
161;1.7160;6.797;35.658
163;1.9750;6.279;34.682
164;1.2160;6.502;36.064
165;1.9180;6.604;36.320
166;1.2010;6.702;36.572
168;1.9380;6.503;36.481
169;1.9860;6.565;36.640
170;0.9220;6.711;35.864
171;1.7990;6.416;36.367
172;1.1860;6.581;36.238
173;1.8490;6.334;36.823
174;1.0940;6.859;35.938
176;1.2420;6.529;36.633
177;1.7190;6.536;36.854
178;1.9750;6.500;36.815
179;1.3090;6.702;36.967
180;0.9330;6.427;36.735
181;1.3360;6.618;36.380
182;1.2020;6.672;35.333
183;0.9500;6.803;35.532
184;2.1350;6.638;35.831
185;1.3700;6.678;36.041
186;1.8670;6.760;35.990
187;1.2440;6.846;36.170
188;1.4180;6.679;35.793
189;1.6410;6.582;35.822
190;1.4470;6.569;36.638
191;1.3850;6.548;36.184
192;1.5390;6.352;35.237
194;1.9480;6.621;35.705
196;1.6010;6.615;36.291
197;1.4660;6.568;35.885
198;1.8410;6.390;36.931
199;1.4000;6.318;34.926
200;1.3160;6.720;35.264
201;0.9580;6.402;35.079
202;1.0640;6.355;35.591
203;0.7470;6.111;33.997
204;0.8930;6.657;34.917
205;0.7700;6.469;34.353
206;2.3950;6.692;36.072
207;1.6370;6.575;35.534
208;0.7130;6.437;35.494
209;1.4980;6.369;34.728
210;1.8390;6.548;35.941
211;1.8270;6.388;35.944
212;0.9470;6.460;34.269
214;2.1860;6.546;35.965
215;1.6600;6.371;36.591