Absorption;CO2;N;NcontentShoots;BiomassShoots;BiomassRoots
132,5641577;A;0.5 mM;6,76095;10,50;2,58
177,0792352;A;0.5 mM;6,51966;11,40;1,85
167,5167133;A;0.5 mM;6,52471;15,50;2,93
155,4720918;A;0.5 mM;6,54436;11,60;2,36
167,1440078;A;0.5 mM;6,51167;12,20;2,30
162,6782498;A;0.5 mM;6,69975;12,70;2,40
156,8153065;A;0.5 mM;6,53691;11,80;2,38
163,9426554;A;0.5 mM;6,39394;8,80;1,60
125,9874817;A;0.5 mM;6,73661;12,20;3,17
150,9360287;A;0.5 mM;6,90251;9,20;1,70
154,8907125;A;0.5 mM;6,46976;9,40;1,55
178,345531;A;0.5 mM;6,50923;9,60;1,63
124,3368555;E;0.5 mM;5,61114;20,40;5,77
143,8637158;E;0.5 mM;5,80136;16,10;3,64
123,9328337;E;0.5 mM;5,5546;20,60;5,52
146,7503689;E;0.5 mM;5,65137;24,90;5,99
137,5311918;E;0.5 mM;5,82871;19,00;4,26
139,15078;E;0.5 mM;5,89844;18,80;4,53
127,262406;E;0.5 mM;4,90467;18,00;3,64
108,4513274;E;0.5 mM;4,67525;24,60;6,36
103,7752116;E;0.5 mM;4,83055;20,00;5,53
99,64506651;E;0.5 mM;4,99192;19,20;5,27
121,9762097;E;0.5 mM;4,51324;13,60;4,15
104,3559052;E;0.5 mM;4,94643;18,40;4,72
149,1261159;A;10 mM;6,89;11,20;2,37
172,2876458;A;10 mM;6,79;12,40;2,27
151,9916771;A;10 mM;6,84;13,90;3,39
166,1121733;A;10 mM;6,67;11,60;2,29
152,8327361;A;10 mM;6,75;15,80;3,53
154,4474924;A;10 mM;6,80;13,90;2,75
153,0362232;A;10 mM;6,89;9,60;2,03
147,9319432;A;10 mM;6,84;15,20;3,33
196,2335659;A;10 mM;6,62;11,40;1,79
147,5024554;A;10 mM;6,82;17,10;3,32
157,6830785;E;10 mM;6,29;23,30;4,59
188,4421516;E;10 mM;6,58;25,60;4,32
154,0560046;E;10 mM;6,50;20,20;3,85
151,8444084;E;10 mM;6,37;14,80;2,86
155,643325;E;10 mM;6,58;24,90;5,07
185,1088161;E;10 mM;6,47;19,40;3,07
133,5844788;E;10 mM;6,61;37,80;9,08
177,9432352;E;10 mM;6,66;27,20;4,22
139,0501549;E;10 mM;6,25;17,50;3,31
116,8387524;E;10 mM;6,15;29,30;7,47
167,7226421;E;10 mM;6,39;32,90;5,91
183,5882206;E;10 mM;6,88;20,60;3,17